time_step,action,ac,heater,dehum,hum,reward,label_next,q_value_max,temp,humid,light
0,12,0.0,0.0,1.0,1.0,0.9,0,0.014492079,0.5463896,0.665498,0.2534619
1,10,0.0,1.0,0.0,1.0,0.9,0,0.018046707,0.56728655,0.6569694,0.2517705
2,0,0.0,0.0,0.0,0.0,1.0,0,0.025615327,0.56973535,0.6504078,0.251004
3,10,0.0,1.0,0.0,1.0,0.9,0,0.029471394,0.5670339,0.66756475,0.24961239
4,10,0.0,1.0,0.0,1.0,0.9,0,0.03801936,0.5480356,0.6632546,0.25487885
5,4,0.0,0.0,1.0,0.0,0.95,0,0.051139552,0.5573623,0.6562465,0.2500347
6,4,0.0,0.0,1.0,0.0,0.95,0,0.04696645,0.55492383,0.66600287,0.25353327
7,4,0.0,0.0,1.0,0.0,0.95,0,0.053655557,0.5302912,0.6584257,0.25197345
8,4,0.0,0.0,1.0,0.0,0.95,0,0.05828045,0.570145,0.6449694,0.25665396
9,4,0.0,0.0,1.0,0.0,0.95,0,0.064075954,0.555724,0.6583092,0.2532919
10,4,0.0,0.0,1.0,0.0,0.95,0,0.07794354,0.577913,0.65337217,0.25662413
11,4,0.0,0.0,1.0,0.0,0.95,0,0.06995523,0.5456227,0.6632021,0.25565815
12,4,0.0,0.0,1.0,0.0,0.95,0,0.055403348,0.56382674,0.65798163,0.25251466
13,1,1.0,0.0,0.0,0.0,0.95,0,0.061704062,0.558323,0.6562252,0.25655848
14,1,1.0,0.0,0.0,0.0,0.95,0,0.043813266,0.5722833,0.66413254,0.25627497
15,1,1.0,0.0,0.0,0.0,0.95,0,0.0400266,0.5519434,0.66295815,0.2523111
16,1,1.0,0.0,0.0,0.0,0.95,0,0.03612065,0.5791153,0.6610829,0.25622058
17,1,1.0,0.0,0.0,0.0,0.95,0,0.03323519,0.55447096,0.6650568,0.2540535
18,1,1.0,0.0,0.0,0.0,0.95,0,0.04175342,0.5602826,0.67013115,0.25221127
19,1,1.0,0.0,0.0,0.0,0.95,0,0.048182756,0.5589955,0.6565803,0.25656846
20,1,1.0,0.0,0.0,0.0,0.95,0,0.05204189,0.5449511,0.6634348,0.2538898
21,11,1.0,1.0,0.0,1.0,0.85,0,0.067476876,0.5600645,0.6649538,0.2552209
22,11,1.0,1.0,0.0,1.0,0.85,0,0.092374936,0.56444573,0.65224206,0.25228223
23,11,1.0,1.0,0.0,1.0,0.85,0,0.104332976,0.57680094,0.65642565,0.258709
24,1,1.0,0.0,0.0,0.0,0.95,0,0.118924595,0.56775844,0.65354216,0.25958422
25,1,1.0,0.0,0.0,0.0,0.95,0,0.109379105,0.5752214,0.6584998,0.25509265
26,1,1.0,0.0,0.0,0.0,0.95,0,0.109379105,0.57708704,0.6538517,0.25623834
27,1,1.0,0.0,0.0,0.0,0.95,0,0.109379105,0.54905283,0.661942,0.25682965
28,1,1.0,0.0,0.0,0.0,0.95,0,0.109379105,0.54664874,0.65982735,0.2598115
29,1,1.0,0.0,0.0,0.0,0.95,0,0.109379105,0.5560824,0.6570047,0.25726086
